word,videos
a,A.mp4
a,a_7.mp4
a,a_2.mp4
a,a_4.mp4
a,a_1.mp4
a,a_5.mp4
a,a_6.mp4
a,a_3.mp4
a,A_video_2.mp4
a,A_video_0.mp4
a,A_video_1.mp4
a,A • ASL Dictionary.mp4
b,B • ASL Dictionary.mp4
b,b_8.mp4
b,b_3.mp4
b,b_4.mp4
b,b_5.mp4
b,b_2.mp4
b,b_1.mp4
b,b_6.mp4
b,B_video_0.mp4
b,B_video_1.mp4
b,B_video_2.mp4
c,C • ASL Dictionary.mp4
c,C.mp4
c,C_video_0.mp4
c,c_1.mp4
c,c_2.mp4
c,c_3.mp4
c,c_4.mp4
c,c_6.mp4
c,c_7.mp4
d,D • ASL Dictionary.mp4
d,D.mp4
d,d_8.mp4
d,d_2.mp4
d,d_1.mp4
d,d_3.mp4
d,d_4.mp4
d,d_5.mp4
d,d_7.mp4
d,d_6.mp4
d,D_video_0.mp4
d,D_video_1.mp4
d,D_video_2.mp4
e,E • ASL Dictionary.mp4
e,E.mp4
e,e_6.mp4
e,e_4.mp4
e,e_3.mp4
e,e_5.mp4
e,e_7.mp4
e,e_8.mp4
e,e_2.mp4
e,e_1.mp4
e,E_video_1.mp4
e,E_video_0.mp4
e,E_video_2.mp4
f,F • ASL Dictionary.mp4
f,f_4.mp4
f,f_1.mp4
f,f_2.mp4
f,f_3.mp4
f,f_5.mp4
f,f_6.mp4
f,f_7.mp4
g,G • ASL Dictionary.mp4
g,g_1.mp4
g,g_2.mp4
g,g_3.mp4
g,g_4.mp4
g,g_5.mp4
g,g_6.mp4
g,g_7.mp4
h,H • ASL Dictionary.mp4
h,h_4.mp4
h,h_5.mp4
h,h_6.mp4
h,h_7.mp4
h,h_8.mp4
h,h_2.mp4
h,h_1.mp4
h,h_5.mp4
h,H_video_2.mp4
h,H_video_0.mp4
h,H_video_4.mp4
h,H_video_3.mp4
h,H_video_1.mp4
i,I • ASL Dictionary.mp4
i,I.mp4
i,i_5.mp4
i,i_2.mp4
i,i_8.mp4
i,i_3.mp4
i,i_1.mp4
i,i_4.mp4
i,i_6.mp4
i,i_7.mp4
j,J • ASL Dictionary.mp4
j,J.mp4
j,j_6.mp4
j,j_2.mp4
j,j_1.mp4
j,j_3.mp4
j,j_5.mp4
j,j_7.mp4
j,j_8.mp4
j,j_4.mp4
j,J_video_1.mp4
j,J_video_2.mp4
j,J_video_3.mp4
j,J_video_0.mp4
k,K • ASL Dictionary.mp4
k,K.mp4
k,k_3.mp4
k,k_5.mp4
k,k_7.mp4
k,k_8.mp4
k,k_2.mp4
k,k_1.mp4
k,k_4.mp4
k,k_6.mp4
k,K_video_0.mp4
k,K_video_2.mp4
k,K_video_1.mp4
l,L • ASL Dictionary.mp4
l,l_3.mp4
l,l_4.mp4
l,l_5.mp4
l,l_6.mp4
l,l_7.mp4
l,l_8.mp4
l,L.mp4
l,L_video_2.mp4
